run_id,timestamp_start,timestamp_end,stage,selector_name,backend_name,candidate_pool_size_m,budget_k,depth_p,dataset_manifest_path,config_path,command,solver_name,solver_version,python_version,machine_id,git_commit_or_snapshot,stdout_log_path,stderr_log_path,raw_result_path,status
P5_root_scip_efficacy_external_unseen_test_20260310_205153_088938,2026-03-10T20:51:53.088938,2026-03-10T20:51:54.596154,root,scip-efficacy,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_cut_external_unseen_test_20260310_205154_596349,2026-03-10T20:51:54.596349,2026-03-10T20:51:55.544568,root,scip-raise_cut,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_external_unseen_test_20260310_205155_544739,2026-03-10T20:51:55.544739,2026-03-10T20:51:56.669332,root,scip-raise_portfolio,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_rc_external_unseen_test_20260310_205156_669509,2026-03-10T20:51:56.669509,2026-03-10T20:51:57.792876,root,scip-raise_portfolio_rc,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_scip_ensemble_external_unseen_test_20260310_205157_793083,2026-03-10T20:51:57.793083,2026-03-10T20:51:58.754766,root,scip-scip_ensemble,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_default_external_unseen_test_20260310_205158_755061,2026-03-10T20:51:58.755061,2026-03-10T20:51:59.161829,root,scip-default,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_efficacy_external_unseen_test_20260310_205159_161996,2026-03-10T20:51:59.161996,2026-03-10T20:52:00.077866,root,scip-efficacy,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_cut_external_unseen_test_20260310_205200_078041,2026-03-10T20:52:00.078041,2026-03-10T20:52:00.952554,root,scip-raise_cut,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_external_unseen_test_20260310_205200_952727,2026-03-10T20:52:00.952727,2026-03-10T20:52:01.885286,root,scip-raise_portfolio,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_rc_external_unseen_test_20260310_205201_885457,2026-03-10T20:52:01.885457,2026-03-10T20:52:02.818007,root,scip-raise_portfolio_rc,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
